id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6806602,New Family Home close to Center. Free parking!,29585407,Wouter,,Oud-Noord,52.39976,4.90331,Entire home/apt,211,3,7,17-08-2019,0.51,1,0
6815758,Spacious & Comfy House in Amsterdam,35686931,Lukas,,Oud-Noord,52.39362,4.92485,Entire home/apt,149,3,0,,,1,0
6816107,Trendy area in district Baarsjes.,10254359,Koen,,De Baarsjes - Oud-West,52.37294,4.85608,Entire home/apt,135,3,51,03-01-2020,0.86,1,206
6816828,Very beautiful room in the centre,2814474,Sara,,Oostelijk Havengebied - Indische Buurt,52.37332,4.93614,Private room,90,1,0,,,1,0
6816936,Three floors spacious family-appartment in de Pijp,35688010,Jeroen & Olga,,De Pijp - Rivierenbuurt,52.3525,4.89168,Entire home/apt,279,4,16,19-08-2018,0.27,1,0
6819536,Canal View bed-no-breakfast,35704934,Hans,,Centrum-Oost,52.37046,4.91136,Entire home/apt,130,4,131,14-03-2020,2.18,1,336
6819794,"Awesome home, convenient location.",35712611,Manus,,Oud-Oost,52.35642,4.91326,Entire home/apt,180,3,12,24-07-2019,0.2,1,315
6820290,Spacious and light private apt,34633165,Jeroen,,Centrum-Oost,52.36472,4.91057,Entire home/apt,180,3,48,16-08-2019,0.79,1,221
6821282,"Central, spacious 2 bedroom apartment with airco!",35719476,Maceo,,De Pijp - Rivierenbuurt,52.35562,4.89087,Entire home/apt,245,3,15,09-12-2019,0.32,1,0
6825880,quiet city centre apartment,16564018,Rick,,Westerpark,52.38988,4.88739,Entire home/apt,129,2,50,02-07-2017,0.84,1,0
6826043,Nice charming house with garden,2908962,Mamereke,,Oud-Noord,52.39527,4.91633,Entire home/apt,150,3,52,02-01-2020,0.86,1,0
6826156,16th century canalhouse,16435310,Mike,,Centrum-Oost,52.37462,4.90361,Entire home/apt,295,6,2,04-04-2018,0.05,1,0
6827268,Stylish loft with roof terrace,35762825,Willem,,Watergraafsmeer,52.35605,4.93224,Entire home/apt,245,2,44,12-08-2019,0.73,2,177
6827912,DESIGNER LOFT CITY CENTRE AMSTERDAM,61977,Marjolein,,De Baarsjes - Oud-West,52.36879,4.86703,Entire home/apt,250,1,18,02-06-2019,0.32,1,22
6828314,Open light children paradise,3618413,Ivana,,Zuid,52.34971,4.86085,Entire home/apt,135,3,18,04-12-2016,0.3,1,0
6828574,"House with garden and cat, 15 min downtown.",35770841,Elin,,Noord-West,52.4142,4.88427,Entire home/apt,77,3,31,03-01-2020,0.53,1,4
6830226,"Close to the Amstel, pleasant house",35781271,Maaike,,Oud-Oost,52.35226,4.9113,Entire home/apt,89,5,31,18-08-2019,0.55,1,358
6830331,Groundfloor apartment with garden,35780464,Herman,,De Baarsjes - Oud-West,52.36003,4.85879,Entire home/apt,140,7,24,12-10-2019,0.4,1,0
6830664,Beautiful apartment near vondelpark,30593386,Casper,,De Baarsjes - Oud-West,52.35973,4.85765,Entire home/apt,111,1,0,,,1,0
6831196,"Cozy place, heart A'dam 1-4 pers",2019197,Zora,,De Baarsjes - Oud-West,52.36874,4.84888,Private room,48,1,64,22-04-2019,1.06,1,359
6831658,Canal view apartment,35789117,Michelle,,Westerpark,52.38942,4.88422,Entire home/apt,200,2,50,21-11-2019,0.84,1,318
6832721,Great House with Sunny Backyard,8816010,Anneloes,,Watergraafsmeer,52.35226,4.93665,Entire home/apt,119,3,8,01-05-2016,0.13,1,0
6833036,Historical canal house -city center,35468291,Maarten,,Centrum-West,52.37385,4.89939,Entire home/apt,210,2,4,05-10-2015,0.07,1,0
6834384,Spacious apt. in Amsterdam East,12363594,Lotte & Seb,,Oud-Oost,52.36353,4.92753,Entire home/apt,91,2,16,22-08-2017,0.27,1,0
6835619,3 floor family home,8362084,Bob,,Zuid,52.35615,4.85354,Entire home/apt,325,3,2,10-08-2015,0.03,1,0
6838383,Design Loft in the center of Amsterdam - Jordaan,12977654,Nicky,,Centrum-West,52.36786,4.8802,Entire home/apt,180,3,45,27-01-2020,0.77,1,155
6839285,Cozy soul decorated studio,30751498,Silvia,,De Baarsjes - Oud-West,52.36312,4.87921,Entire home/apt,100,2,41,19-06-2017,0.69,1,0
6839504,Great apartment with private garden,6572290,Caroline,,De Baarsjes - Oud-West,52.3676,4.86524,Entire home/apt,110,2,15,17-06-2017,0.28,1,0
6841154,Romantic apartment near Vondelpark,12891391,Ruben,,Zuid,52.35196,4.85539,Entire home/apt,105,4,25,21-11-2019,0.41,1,0
6841884,Newly Renovated Loft @ Vondelpark!,27257605,Jan-Willem,,De Baarsjes - Oud-West,52.3576,4.85581,Entire home/apt,500,6,6,22-06-2016,0.1,1,365
6844655,Monumental and cosy design appt!,4022291,Sophie,,Centrum-West,52.37304,4.87638,Entire home/apt,165,2,49,01-09-2019,0.82,1,0
6845276,Luxury Design Apartment,35869223,Gilian,,Zuid,52.35341,4.86813,Entire home/apt,350,3,5,27-12-2019,0.25,1,13
6845563,Beautiful one bedroom apartment!,8789817,Ewa,,Oud-Oost,52.36391,4.92561,Entire home/apt,140,5,31,07-06-2019,0.53,1,0
6845634,Renovated apartment in city centre,28541859,Julia,,De Baarsjes - Oud-West,52.369,4.87278,Entire home/apt,210,1,4,15-09-2015,0.07,1,0
6847575,"VIP family home, center, 3 bedrooms",13861116,August,,Centrum-Oost,52.36497,4.90294,Entire home/apt,99,1,67,19-02-2020,1.12,1,175
6849314,"Letties BB&B, Bed Bike & Boat",26295647,Lettie,,Watergraafsmeer,52.35525,4.93458,Entire home/apt,160,4,247,17-03-2020,4.11,1,304
6849807,Big family house next to Vondelpark/Museum Quarter,34845570,Marjolein,,Zuid,52.35503,4.86955,Entire home/apt,499,2,28,22-10-2018,0.67,1,0
6850043,gerenoveerd woonschip-tjalk (1908) boat,24350341,Harold,,Noord-Oost,52.38178,4.96555,Entire home/apt,109,3,25,03-01-2020,0.41,1,165
6851265,Light & bright canal view apartment,35899747,François,,Westerpark,52.37387,4.87418,Entire home/apt,100,2,19,13-12-2016,0.32,1,0
6857675,Modern & cosy apartment incl bikes,35316392,Janine,,Oud-Oost,52.35376,4.92083,Entire home/apt,90,3,8,07-09-2018,0.14,1,0
6858436,Great Ap. in Lively Green Hip West. close to centr,16360879,Jan,,De Baarsjes - Oud-West,52.37182,4.85378,Entire home/apt,120,2,5,17-04-2017,0.08,2,0
6861769,Lovely apartment in Adam oud west,9135742,Moira,,De Baarsjes - Oud-West,52.36538,4.86228,Entire home/apt,89,2,63,10-03-2020,1.04,1,353
6863052,X-Mas/NYE apartment large balony (incl. heater),10048959,Stephanie,,De Pijp - Rivierenbuurt,52.35758,4.90419,Entire home/apt,120,25,4,30-12-2016,0.07,2,0
6863379,Cozy and sunny canal-side apartment,2047798,Tamar,,Centrum-Oost,52.35878,4.89465,Entire home/apt,125,3,3,03-07-2017,0.06,1,0
6867245,Modern and spacious houseboat,6206405,Friso,,De Baarsjes - Oud-West,52.36974,4.87067,Entire home/apt,240,5,60,01-01-2020,1,1,202
6868008,Very light house on top location,35989700,Marie Nanette,,Centrum-West,52.38236,4.88675,Entire home/apt,350,3,20,31-12-2017,0.34,1,0
6873916,"Extremely light, with canal view",3561531,Rob,,De Baarsjes - Oud-West,52.37272,4.85602,Entire home/apt,100,3,68,01-08-2019,1.13,1,96
6876570,romantic houseboat in the center of Amsterdam,26453644,Casper,,Centrum-Oost,52.36522,4.90035,Entire home/apt,300,3,18,08-11-2019,0.3,1,0
6877495,Apartment in citycentre Amsterdam,36039260,Nicola,,Centrum-West,52.37263,4.89547,Entire home/apt,160,1,0,,,1,0
6883066,beautiful houseboat in the center,10453850,Louis,,Centrum-West,52.37855,4.88678,Entire home/apt,279,3,77,08-08-2019,1.29,2,0
6889743,Quiet place in the ring of canals,36105130,Lia,,Centrum-West,52.37498,4.8901,Entire home/apt,150,4,20,13-07-2019,0.36,1,160
6890932,Cute apartment in the city center aka De Pijp,3315498,Yuri,,De Pijp - Rivierenbuurt,52.35684,4.8966,Entire home/apt,120,3,52,01-03-2020,0.87,1,160
6891368,Perfect rooftop apartment in South,32688431,Florine,,De Pijp - Rivierenbuurt,52.35058,4.89033,Entire home/apt,120,2,5,05-03-2016,0.09,1,0
6892562,"Spacious, Light, Family Apartment",36117293,Veronique,,De Baarsjes - Oud-West,52.36084,4.85469,Entire home/apt,175,3,5,20-08-2017,0.09,1,0
6892880,Lovely apt w jacuzzi in hip area!,7175106,Karin,,Oostelijk Havengebied - Indische Buurt,52.3638,4.93261,Entire home/apt,90,2,30,06-10-2018,0.51,1,0
6893255,,4223835,Tosca,,De Baarsjes - Oud-West,52.36705,4.85508,Entire home/apt,100,3,18,30-12-2019,0.3,1,0
6895469,Amazing  Apartment ( 88m2) with Lovely Terrace!,31128628,Jose,,Osdorp,52.36115,4.79646,Private room,47,1,112,31-01-2020,1.86,1,365
6895794,Lovely loft with roofterras near Albert Cuyp/RAI,7278134,Constanze,,De Pijp - Rivierenbuurt,52.35135,4.88899,Entire home/apt,250,2,101,15-03-2020,1.69,1,170
6897984,Fun & Relaxing,35873839,Sophie,,De Pijp - Rivierenbuurt,52.35611,4.88812,Entire home/apt,65,1,1,01-12-2015,0.02,1,0
6898994,Modern apartment with nice garden,36150816,Robert-Jan,,Westerpark,52.37377,4.86942,Entire home/apt,130,6,28,14-03-2020,0.46,1,160
6899074,Beautiful apartment City Centre (Rembrandtplein),36151239,Cecile,,Centrum-Oost,52.36594,4.89805,Entire home/apt,250,3,10,04-06-2018,0.17,1,0
6907368,On the corner of Prinsengracht,20419809,Caroline,,Centrum-West,52.37391,4.88141,Entire home/apt,130,3,13,28-12-2019,0.25,1,0
6907423,Bright comfortable apartment in AMS,23139709,Franka,,Bos en Lommer,52.37633,4.85546,Entire home/apt,80,4,2,07-08-2015,0.03,1,0
6908234,Zimmer - Vondelpark - Museumsquart.,8487189,Felix,,De Baarsjes - Oud-West,52.36449,4.87604,Private room,79,4,4,05-01-2016,0.07,1,0
6912095,Central & cosy 55m2 ap. with balcony ideal for 2,14134728,Tim,,De Pijp - Rivierenbuurt,52.34338,4.91031,Entire home/apt,120,10,13,24-02-2018,0.23,1,0
6913671,Woning te huur voor 6 maanden!,36231152,Nilay,,Geuzenveld - Slotermeer,52.3723,4.81974,Entire home/apt,900,1,0,,,1,0
6915922,Unique Boat Amsterdam Center,13819699,Laura,,Centrum-Oost,52.36009,4.90286,Entire home/apt,70,1,118,22-09-2019,1.95,1,31
6918101,Luxurious apartment with canal view,21902564,Merel,,De Baarsjes - Oud-West,52.36089,4.86117,Entire home/apt,110,3,5,30-05-2016,0.08,1,0
6918107,Nice appartement/house in great quiet/unique area,15093411,Jan,,Watergraafsmeer,52.35306,4.93576,Entire home/apt,150,1,3,27-07-2018,0.06,1,0
6919022,Spacious and bright 4 Bedroom Apartment,36263117,Roger,,Bos en Lommer,52.37766,4.84263,Entire home/apt,129,2,3,30-01-2017,0.05,1,0
6920719,Beautiful room with balcony,36272714,Frank,,De Baarsjes - Oud-West,52.37116,4.86627,Private room,95,3,267,01-03-2020,4.43,2,340
6922393,Modern family house in the centre!,26254705,Marjolein,,Centrum-West,52.37003,4.87864,Entire home/apt,235,3,20,31-01-2020,0.33,1,24
6924423,Beautiful 2 bedr apt in citycenter,36294675,Guus,,Oud-Oost,52.35399,4.90898,Entire home/apt,165,4,58,03-01-2020,0.96,1,0
6928420,Appartment near parcs and center,5669252,Marian,,De Baarsjes - Oud-West,52.36388,4.85461,Entire home/apt,125,5,24,13-05-2019,0.44,1,0
6928523,"Grand house on canal, Center",7995151,Stefanie,,Westerpark,52.37395,4.87422,Entire home/apt,450,2,2,10-08-2015,0.03,1,0
6929335,"Hippest shopping street, 5 mins walk from Station",2778693,Robin,,Centrum-West,52.38093,4.89008,Entire home/apt,135,4,22,02-01-2020,0.37,1,27
6934089,NEW: Cosy apartment with big garden,10783298,Maarten,,De Pijp - Rivierenbuurt,52.34879,4.88761,Entire home/apt,125,5,10,13-10-2019,0.17,1,0
6934244,Beautiful house with roofterrace,21694922,Klaske,,Zuid,52.35322,4.8674,Entire home/apt,350,3,33,10-02-2020,0.56,1,341
6935944,New apartment in Amsterdam,9137095,Roos,,De Baarsjes - Oud-West,52.3638,4.87642,Entire home/apt,161,2,26,22-07-2019,0.51,3,0
6936833,Houseboat with a splendid view,10453850,Louis,,De Baarsjes - Oud-West,52.363,4.85967,Entire home/apt,145,3,3,16-08-2017,0.09,2,0
6937196,Great apartment near Vondelpark,19725382,Sander,,De Baarsjes - Oud-West,52.35881,4.8543,Entire home/apt,115,3,12,29-10-2017,0.23,1,0
6941269,Nice home with garden,17351613,Sonja,,De Aker - Nieuw Sloten,52.34471,4.79749,Entire home/apt,250,4,2,14-07-2016,0.03,1,0
6942100,Apartment in Old Pipe district,26577733,Lizzy,,De Pijp - Rivierenbuurt,52.35785,4.88802,Entire home/apt,129,3,37,23-10-2018,0.62,1,0
6943965,Spacious family house with easy city center access,6604622,Charlotte,,Noord-Oost,52.38907,4.95485,Entire home/apt,109,4,7,14-08-2018,0.12,1,0
6944791,Beautiful ap in centre of Amsterdam,9237841,Floor,,Zuid,52.35404,4.87811,Entire home/apt,120,3,3,25-11-2015,0.05,1,0
6945186,Relaxing Twin Room with Canal View!,26295351,Michelle,,Centrum-West,52.37629,4.89173,Private room,79,2,46,12-12-2017,0.81,6,0
6946461,"Big, sunny apt, central to all!",5414086,Jessica,,De Baarsjes - Oud-West,52.36123,4.87478,Entire home/apt,160,5,17,07-07-2018,0.31,1,297
6950551,Marvelous Museumquarter Apartment,36440717,Maarten,,Centrum-West,52.36829,4.89128,Entire home/apt,195,2,42,09-01-2020,0.73,1,348
6953955,Charming room in Amsterdam,30292036,Nitin,,De Pijp - Rivierenbuurt,52.35551,4.89327,Private room,100,1,16,03-11-2019,0.29,2,89
